case_id,rank,frame,doppler_index,range_index,range_m,velocity_mps,cell_power_linear
ss0_flat,1,25,32,2,3.5131928671875,0.0,432687.3125
ss0_flat,2,29,32,2,3.5131928671875,0.0,432687.3125
ss0_flat,3,12,32,2,3.5131928671875,0.0,432687.3125
ss0_flat,4,11,32,2,3.5131928671875,0.0,432687.3125
ss0_flat,5,24,32,2,3.5131928671875,0.0,432687.3125
ss1_rippled,1,34,32,2,3.5131928671875,0.0,1183632.75
ss1_rippled,2,6,32,2,3.5131928671875,0.0,1059708.875
ss1_rippled,3,23,32,2,3.5131928671875,0.0,1040637.8125
ss1_rippled,4,32,32,2,3.5131928671875,0.0,981193.75
ss1_rippled,5,29,32,2,3.5131928671875,0.0,892877.3125
ss2_normal,1,13,32,2,3.5131928671875,0.0,1373138.25
ss2_normal,2,34,32,2,3.5131928671875,0.0,1270040.5
ss2_normal,3,34,32,1,1.75659643359375,0.0,1166372.5
ss2_normal,4,0,32,2,3.5131928671875,0.0,1111940.0
ss2_normal,5,18,32,2,3.5131928671875,0.0,1022772.9375
ss3_nominal,1,26,31,2,3.5131928671875,-0.30417254261363635,1279215.875
ss3_nominal,2,26,31,1,1.75659643359375,-0.30417254261363635,978344.125
ss3_nominal,3,22,31,2,3.5131928671875,-0.30417254261363635,951069.5625
ss3_nominal,4,0,32,2,3.5131928671875,0.0,918758.5625
ss3_nominal,5,37,32,2,3.5131928671875,0.0,903053.0
ss3_upper,1,0,32,2,3.5131928671875,0.0,2058310.0
ss3_upper,2,0,32,1,1.75659643359375,0.0,1620239.75
ss3_upper,3,22,30,2,3.5131928671875,-0.6083450852272727,1057434.625
ss3_upper,4,22,31,2,3.5131928671875,-0.30417254261363635,928410.25
ss3_upper,5,13,30,2,3.5131928671875,-0.6083450852272727,914664.0625
