case_id,scenario_id,detector,pfa,training_doppler,training_range,guard_doppler,guard_range,valid_cells,detection_count,detections_per_frame,detection_rate_valid_cells,fixed_percentile,fixed_threshold_linear
ss0_flat,pfa1e2_train2,ca_cfar_local_peak,0.01,2,2,1,1,137924,0,0.0,0.0,99.0,0.4350981116294861
ss0_flat,pfa1e2_train2,ca_threshold_only,0.01,2,2,1,1,137924,1599,39.0,0.01159334126040428,99.0,0.4350981116294861
ss0_flat,pfa1e2_train2,os_cfar_local_peak,0.01,2,2,1,1,137924,0,0.0,0.0,99.0,0.4350981116294861
ss0_flat,pfa1e2_train2,fixed_energy_local_peak,0.01,2,2,1,1,137924,0,0.0,0.0,99.0,0.4350981116294861
ss0_flat,pfa1e3_train2,ca_cfar_local_peak,0.001,2,2,1,1,137924,0,0.0,0.0,99.0,0.4350981116294861
ss0_flat,pfa1e3_train2,ca_threshold_only,0.001,2,2,1,1,137924,0,0.0,0.0,99.0,0.4350981116294861
ss0_flat,pfa1e3_train2,os_cfar_local_peak,0.001,2,2,1,1,137924,0,0.0,0.0,99.0,0.4350981116294861
ss0_flat,pfa1e3_train2,fixed_energy_local_peak,0.001,2,2,1,1,137924,0,0.0,0.0,99.0,0.4350981116294861
ss0_flat,pfa1e4_train2,ca_cfar_local_peak,0.0001,2,2,1,1,137924,0,0.0,0.0,99.0,0.4350981116294861
ss0_flat,pfa1e4_train2,ca_threshold_only,0.0001,2,2,1,1,137924,0,0.0,0.0,99.0,0.4350981116294861
ss0_flat,pfa1e4_train2,os_cfar_local_peak,0.0001,2,2,1,1,137924,0,0.0,0.0,99.0,0.4350981116294861
ss0_flat,pfa1e4_train2,fixed_energy_local_peak,0.0001,2,2,1,1,137924,0,0.0,0.0,99.0,0.4350981116294861
ss0_flat,pfa1e2_train4,ca_cfar_local_peak,0.01,4,4,1,1,119556,0,0.0,0.0,99.0,0.4350981116294861
ss0_flat,pfa1e2_train4,ca_threshold_only,0.01,4,4,1,1,119556,1517,37.0,0.012688614540466393,99.0,0.4350981116294861
ss0_flat,pfa1e2_train4,os_cfar_local_peak,0.01,4,4,1,1,119556,0,0.0,0.0,99.0,0.4350981116294861
ss0_flat,pfa1e2_train4,fixed_energy_local_peak,0.01,4,4,1,1,119556,0,0.0,0.0,99.0,0.4350981116294861
ss0_flat,pfa1e3_train4,ca_cfar_local_peak,0.001,4,4,1,1,119556,0,0.0,0.0,99.0,0.4350981116294861
ss0_flat,pfa1e3_train4,ca_threshold_only,0.001,4,4,1,1,119556,861,21.0,0.00720164609053498,99.0,0.4350981116294861
ss0_flat,pfa1e3_train4,os_cfar_local_peak,0.001,4,4,1,1,119556,0,0.0,0.0,99.0,0.4350981116294861
ss0_flat,pfa1e3_train4,fixed_energy_local_peak,0.001,4,4,1,1,119556,0,0.0,0.0,99.0,0.4350981116294861
ss0_flat,pfa1e4_train4,ca_cfar_local_peak,0.0001,4,4,1,1,119556,0,0.0,0.0,99.0,0.4350981116294861
ss0_flat,pfa1e4_train4,ca_threshold_only,0.0001,4,4,1,1,119556,0,0.0,0.0,99.0,0.4350981116294861
ss0_flat,pfa1e4_train4,os_cfar_local_peak,0.0001,4,4,1,1,119556,0,0.0,0.0,99.0,0.4350981116294861
ss0_flat,pfa1e4_train4,fixed_energy_local_peak,0.0001,4,4,1,1,119556,0,0.0,0.0,99.0,0.4350981116294861
ss0_flat,pfa1e2_train8,ca_cfar_local_peak,0.01,8,8,2,2,79376,0,0.0,0.0,99.0,0.4350981116294861
ss0_flat,pfa1e2_train8,ca_threshold_only,0.01,8,8,2,2,79376,1066,26.0,0.013429752066115703,99.0,0.4350981116294861
